Series,Domain,Culture,Experiment,Age,Run,Alpha 1,Metric 1,Alpha 2,Metric 2
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,03,11,0.92,0.2070680966113725,1.2,1.7896926214169742
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,03,12,0.9,0.2037529327746568,1.2,1.7887039796476714
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,03,13,0.92,0.2009953160707817,1.2,1.7899809257812964
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,03,14,0.94,0.1944923340197061,1.2,1.7899989036032824
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,0,0.96,0.1922845431779664,1.2,1.7892543872527984
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,1,0.9,0.1925460678062424,1.2,1.788571674145094
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,2,0.94,0.1997598442208287,1.2,1.7881759177896783
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,3,0.96,0.2001558802982113,1.2,1.7878025229254888
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,4,0.9,0.2078342815540532,1.2,1.7883932376028244
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,5,0.92,0.1947977919654131,1.2,1.7903399099244683
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,6,0.92,0.189592220363736,1.2,1.7890059531009317
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,7,0.94,0.2053625973154622,1.2,1.7893917256665106
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,8,0.9,0.1966134197376726,1.2,1.789131193759672
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,9,0.98,0.1750302910373118,1.2,1.788716861507686
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,10,0.92,0.1953103306978572,1.2,1.7897504949591947
exp_series_1_celegans_phys_contact,celegans,phys_contact,MemoryCapacity,04,11,0.96,0.2072620757773508,1.2,1.7873022708896689
