Series,Domain,Culture,Experiment,Age,Run,Alpha 1,Metric 1,Alpha 2,Metric 2
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,03,13,1.04,0.1630926918401598,0.8,1.7627635386359295
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,03,14,1.04,0.1683891245920828,0.8,1.7619011637123596
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,0,0.96,0.1577812483945593,1.2,1.7721400767694966
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,1,0.94,0.1740044431077135,1.15,1.7659032057091448
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,2,0.94,0.1603415407553356,1.15,1.7717600825084905
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,3,0.92,0.1629185623866378,1.2,1.771375433406098
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,4,0.92,0.1661134263412667,1.2,1.771946713081686
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,5,0.94,0.1626051753622211,1.15,1.772120709745446
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,6,0.92,0.1875174333100737,1.15,1.7697241723365646
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,7,0.94,0.1630907602582321,1.2,1.771736328684338
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,8,0.96,0.1600455707004495,1.2,1.7717333380341416
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,9,0.92,0.1606195690521171,1.2,1.772057405742082
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,10,1.0,0.0991051733418872,1.2,1.7685958266539816
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,11,0.94,0.1104236130852791,0.8,1.7421972452502057
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,12,0.92,0.1677051926983552,1.15,1.7715762815949776
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,13,0.8,0.1542645374965786,1.1,1.768722366448768
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,04,14,0.85,0.1069654298375878,1.2,1.7712685442556917
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,0,0.9,0.1773308178276764,1.2,1.7715565789844896
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,1,0.94,0.1777667547827281,1.2,1.7705501320207688
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,2,0.96,0.1554566979621233,1.1,1.7559886847942106
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,3,0.94,0.181485539433502,1.2,1.7715788976357214
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,4,0.85,0.1882304630287485,1.2,1.7702955827026674
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,5,0.92,0.1711120559261002,1.2,1.7717235517415717
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,6,0.92,0.186694214861078,1.2,1.7718707042776394
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,7,0.9,0.1748642476054829,1.2,1.771581249148905
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,8,0.94,0.17148944978321,1.15,1.769302597048274
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,9,0.94,0.1549842274825794,1.2,1.7716809569002765
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,10,0.92,0.1612580582374843,1.2,1.7720291409506477
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,11,0.92,0.1692804515819201,1.2,1.7718036154321477
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,12,0.94,0.1611322726852211,1.2,1.7722079953002463
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,13,0.94,0.1808733602368696,1.2,1.7713734800696386
exp_series_1_celegans_syn_size,celegans,syn_size,MemoryCapacity,05,14,0.9,0.167983938369555,1.2,1.772052058922472
