Series,Domain,Culture,Experiment,Age,Run,Alpha 1,Metric 1,Alpha 2,Metric 2
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,13,0.92,0.2516814886707916,1.1,1.746931240592147
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,03,14,0.94,0.2488847514601769,1.15,1.7466122914934936
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,0,0.85,0.2066705442639806,0.98,1.746810932941763
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,1,0.8,0.2456750769098517,0.98,1.7458058181243914
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,2,0.85,0.2381479935932478,0.98,1.7464168742600747
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,3,0.85,0.2243436484354324,0.96,1.7467232111171564
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,4,0.85,0.2443525611884738,0.94,1.7457167343696929
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,5,0.8,0.2380773335697345,1.02,1.7470191757663862
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,6,0.8,0.2385350133184184,0.92,1.746875648766789
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,7,0.8,0.2499687839365634,0.94,1.746735472087143
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,8,0.85,0.2381632671362409,0.98,1.746590769739175
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,9,0.8,0.2534162695302793,0.92,1.7469661273306136
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,10,0.8,0.2526397843319422,0.96,1.7467654457158717
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,11,0.8,0.261369062438991,0.92,1.746738585489393
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,12,0.8,0.2525837598047846,0.92,1.7468548765696794
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,13,1.04,0.1871032138299154,0.94,1.6904800364875103
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,04,14,0.8,0.0,0.8,1.742954622549132
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,0,0.9,0.2421573594369793,1.0,1.7469175386767524
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,1,0.92,0.2455401854035736,1.02,1.74683364920319
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,2,0.9,0.2603515018269342,1.0,1.7463371753393058
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,3,0.85,0.2390480760097531,1.02,1.74692521488458
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,4,0.9,0.2562449014199119,1.0,1.7471163158412124
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,5,0.9,0.2457981727651789,1.0,1.7470391214086436
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,6,0.9,0.2304503085052827,1.06,1.7469345304552415
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,7,0.92,0.2263383704410893,1.04,1.7467271713798804
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,8,0.85,0.2476339042925546,1.02,1.7469299058345524
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,9,0.9,0.2505473805914435,1.06,1.7466224360272429
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,10,0.9,0.2472851502112087,1.06,1.746373976380204
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,11,1.2,0.1831179252118948,1.1,1.7470137233311127
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,12,0.9,0.2656306902640077,1.0,1.74631323839953
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,13,0.85,0.2405210015353876,1.0,1.7474085074043906
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,05,14,0.9,0.2461768300191383,1.06,1.746516343424911
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,0,0.9,0.2640079764575176,1.02,1.7465908340804517
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,1,0.9,0.243291269344835,1.04,1.7467982872448031
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,2,0.85,0.2451750302367308,1.04,1.7467299599704806
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,3,0.9,0.2425197159741636,1.02,1.747061343512085
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,4,0.9,0.2483163984257563,1.02,1.7470294246882077
exp_series_1_celegans_syn_count,celegans,syn_count,MemoryCapacity,06,5,1.06,0.1918409279757817,1.02,1.74466570128392
